id,name,lat,lng,address,tel,mobile,line_url,business_hour,type_id,shop_logo
22069,"Big C Mini  คาลเท็กซ์ แคหวาย, เชียงราย ",19.913282,99.860006,เลขที่ 57/21 หมู่ 22 ตำบล รอบเวียง อำเภอ เมืองเชียงราย จังหวัด เชียงราย 57000,ไม่มีเบอร์ร้าน,098-3332997,https://lin.ee/p8CLAc1,06.00 - 22.00,5,images/about_logo_5.jpg
22066,"Big C Mini  ชุมชนพยูน-บ้านฉาง,ระยอง ",12.713814,101.058073,เลขที่ 169/94 หมู่ที่ 5 ตำบล บ้านฉาง อำเภอ บ้านฉาง จังหวัด ระยอง 21130,ไม่มีเบอร์ร้าน,098-3334020,https://lin.ee/N7gofBK,24 Hrs.,5,images/about_logo_5.jpg
22070,"Big C Mini  ตาพระยา, สระแก้ว ",14.005465,102.807268,เลขที่ 44 หมู่ที่ 1 ตำบล ตาพระยา อำเภอ ตาพระยา จังหวัด สระแก้ว 27180,ไม่มีเบอร์ร้าน,063-2175120,https://lin.ee/n8j3N7E,24 Hrs.,5,images/about_logo_5.jpg
21648,Big C Mini  ตึกน้ำ ,13.345047,100.979256,เลขที่ 53/38-40 หมู่ 3 ตำบล บ้านสวน อำเภอ เมืองชลบุรี จังหวัด ชลบุรี 20000,038-197579,080-8140038,https://lin.ee/nEhA2WS,24 Hrs.,5,images/about_logo_5.jpg
21903,"Big C Mini  ถนนราชชุมพล (คอ.2), ระยอง ",12.687893,101.240449,เลขที่ 3/20 หมู่ 2 ตำบล เนินพระ อำเภอ เมืองระยอง จังหวัด ระยอง 21000,ไม่มีเบอร์ร้าน,098-3332612,https://lin.ee/htK9AKc,05.00 - 23.00,5,images/about_logo_5.jpg
21175,Big C Mini  บางจาก  กิ่งแก้ว,13.703969,100.735499,เลขที่ 23/17 หมู่ 7 ตำบล ราชาเทวะ อำเภอ บางพลี  จังหวัด สมุทรปราการ 10540,02-7383087,098-3330174,https://lin.ee/ThIui1R,05.00 - 23.00,5,images/about_logo_5.jpg
21362,Big C Mini  บางจาก  คลองสวนพลู,14.325309,100.527096,เลขที่ 19/6 หมู่ 10 ตำบลปากกราน อำเภอพระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา 13000,035-200800,063-2185610,https://lin.ee/Q4pEJUW,24 Hrs.,5,images/about_logo_5.jpg
21369,Big C Mini  บางจาก  คีรีมาศ,16.821624,99.791631,เลขที่ 118 หมู่ 7 ตำบลโตนด อำเภอคีรีมาศ  จังหวัดสุโขทัย 64160,055-627036,098-3330184,https://lin.ee/zF4uVv6,05.00 - 24.00,5,images/about_logo_5.jpg
21278,Big C Mini  บางจาก  จรัญสนิทวงศ์ 95/2,13.806096,100.512092,เลขที่ 677 ถนน จรัญสนิทวงศ์ แขวง บางอ้อ เขต บางพลัด จังหวัด กรุงเทพมหานคร 10700,02-885-3120,061-3988134,https://lin.ee/xMMGEed,24 Hrs.,5,images/about_logo_5.jpg
21361,Big C Mini  บางจาก  ชะอำ พาร์ค,12.81728,99.94116,เลขที่ 555/4 ถนน เพชรเกษม (ชะอำ) ตำบล ชะอำ อำเภอ ชะอำ จังหวัด เพชรบุรี 76120,032-430-083,098-3330201,https://lin.ee/AQrYUAN,05.00 - 22.00,5,images/about_logo_5.jpg
